Format Version,1.1,Take Name,Take 2017-10-25 05.35.02 PM,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2017-10-25 05.35.02.037 PM,Total Frames,431,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.107289,0.757805,0.300767,0.568999,-0.107769,1.145329,-0.999955,0.001881,-0.103997,1.166796,-1.073156,0.000000,-0.072327,1.144832,-0.965101,0.502662,-0.146983,1.124358,-0.961608,0.371404,-0.103279,1.168064,-1.075411,-0.072129,1.144706,-0.965050,-0.147155,1.124371,-0.961269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,-0.110090,0.758734,0.298154,0.568601,-0.107965,1.145126,-0.999707,0.001886,-0.104178,1.166027,-1.073070,0.000000,-0.072543,1.144947,-0.964830,0.513222,-0.147174,1.124403,-0.961220,0.391903,-0.103404,1.168143,-1.075307,-0.072389,1.144933,-0.964806,-0.147291,1.124415,-0.961154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,-0.108416,0.756607,0.301408,0.570039,-0.108149,1.145574,-0.999694,0.001869,-0.104167,1.167096,-1.072867,0.000000,-0.072828,1.145128,-0.964717,0.516662,-0.147453,1.124498,-0.961497,0.393120,-0.103540,1.168165,-1.075171,-0.072565,1.144986,-0.964674,-0.147453,1.124467,-0.961032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,-0.109101,0.756413,0.301562,0.570085,-0.107898,1.145510,-0.999665,0.001718,-0.103893,1.167006,-1.072845,0.000000,-0.072600,1.145122,-0.964665,0.528763,-0.147202,1.124401,-0.961485,0.448707,-0.103667,1.168205,-1.075052,-0.072705,1.145069,-0.964551,-0.147342,1.124284,-0.961206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,-0.108365,0.755758,0.301796,0.570969,-0.108040,1.145499,-0.999474,0.001705,-0.103892,1.167121,-1.072609,0.000000,-0.072798,1.145006,-0.964419,0.521825,-0.147430,1.124372,-0.961395,0.451825,-0.103830,1.168121,-1.074866,-0.072893,1.145059,-0.964339,-0.147554,1.124319,-0.961052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,-0.109928,0.755762,0.302974,0.570041,-0.108342,1.145520,-0.999382,0.001713,-0.104339,1.167144,-1.072525,0.000000,-0.073072,1.145184,-0.964352,0.517931,-0.147614,1.124232,-0.961270,0.450186,-0.103956,1.168131,-1.074697,-0.073036,1.145005,-0.964167,-0.147718,1.124282,-0.960915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,-0.109207,0.755286,0.302800,0.570903,-0.108248,1.145482,-0.999242,0.001717,-0.104103,1.167174,-1.072356,0.000000,-0.073031,1.145050,-0.964161,0.518955,-0.147612,1.124222,-0.961209,0.456495,-0.104041,1.168126,-1.074528,-0.073195,1.144889,-0.963972,-0.147880,1.124235,-0.960789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,-0.108522,0.756074,0.302108,0.570356,-0.108596,1.145264,-0.999006,0.001733,-0.104559,1.166887,-1.072147,0.000000,-0.073309,1.144803,-0.963995,0.513366,-0.147919,1.124102,-0.960876,0.445788,-0.104146,1.168138,-1.074314,-0.073343,1.144815,-0.963775,-0.148079,1.124185,-0.960617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,-0.109165,0.754849,0.302626,0.571580,-0.108773,1.145467,-0.998871,0.001750,-0.104502,1.167172,-1.071974,0.000000,-0.073609,1.145008,-0.963736,0.506930,-0.148207,1.124222,-0.960902,0.444794,-0.104213,1.168182,-1.074164,-0.073469,1.144873,-0.963574,-0.148222,1.124217,-0.960496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,-0.109268,0.755705,0.301995,0.570762,-0.108942,1.145349,-0.998600,0.001779,-0.104813,1.166923,-1.071750,0.000000,-0.073708,1.144942,-0.963536,0.503412,-0.148305,1.124181,-0.960515,0.444640,-0.104324,1.168109,-1.074043,-0.073623,1.144878,-0.963378,-0.148387,1.124218,-0.960333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
